Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"José Caballero","NYY",1.2270402908325195,-2.350342035293579,3.5773820877075195,-3.1050000190734863,-0.33297649025917053,0.8923773765563965,,0,-0.41085001826286316,1.785873996983118,"Jose Caballero",23401,676609
"Daulton Varsho","TOR",1.9410291910171509,-2.750854253768921,4.691883563995361,10.21500015258789,1.0567896366119385,1.0358449220657349,0.6816999912261963,2,0.3774062693119049,1.496454527482128,"Daulton Varsho",19918,662139
"Nick Fortes","TBR",0.6706897020339966,-2.12216854095459,2.792858362197876,-7.0169997215271,-0.717939019203186,0.9097648859024048,0.9235800504684448,10,-0.40542322397232056,1.142635345946816,"Nick Fortes",21538,663743
"Nick Kurtz","ATH",3.0130667686462402,-3.269559860229492,6.282626628875732,27.252901077270508,2.775358200073242,1.0523064136505127,,0,1.7253565788269043,1.1379413442502107,"Nick Kurtz",35110,701762
"Andrés Giménez","TOR",0.7792810201644897,-3.4011850357055664,4.180466175079346,-0.5539994835853577,-0.04472874104976654,1.153751015663147,1.2334799766540527,5,-0.45666930079460144,1.1321018764414177,"Andres Gimenez",19950,665926
"Rafael Devers","SFG",0.4277200996875763,-3.5889718532562256,4.016692161560059,-6.404999732971191,-0.6498979330062866,0.9137709140777588,,0,-0.6540010571479797,1.122083475944666,"Rafael Devers",17350,646240
"Owen Caissie","MIA",0.801649808883667,-2.1463122367858887,2.9479620456695557,-0.3040001094341278,-0.039126962423324585,0.8913767337799072,1.2511667013168335,6,-0.1909591257572174,1.0902980679845395,"Owen Caissie",27496,683357
"Jackson Merrill","SDP",0.5558414459228516,-3.1636643409729004,3.719505786895752,1.982100486755371,0.2140355110168457,0.988649308681488,,0,-0.45589950680732727,1.0181225732090522,"Jackson Merrill",29490,701538
"Cole Young","SEA",0.9368696212768555,-3.8355212211608887,4.772390842437744,3.6369993686676025,0.374183714389801,1.0696803331375122,,0,-0.1384253352880478,1.0142660815873599,"Cole Young",31680,702284
"Nathaniel Lowe","CIN",1.9521057605743408,-1.9838320016860962,3.9359376430511475,9.609000205993652,0.9315277934074402,1.0553241968154907,1.5727429389953613,7,0.8597928285598755,0.9899759595196045,"Nathaniel Lowe",19566,663993
"Matt Olson","ATL",1.929189682006836,-3.5694122314453125,5.498601913452148,14.941000938415527,1.5160703659057617,0.958733320236206,,0,1.0598722696304321,0.9523553658204098,"Matt Olson",14344,621566
"Nick Castellanos","SDP",0.6401919722557068,-1.8903740644454956,2.5305659770965576,-0.4369998872280121,-0.031466294080019,0.9235363006591797,0.9885714650154114,7,-0.22486227750778198,0.9180586053605863,"Nick Castellanos",11737,592206
"Agustín Ramírez","MIA",0.5253497362136841,-1.9752821922302246,2.5006320476531982,-2.15690016746521,-0.21907159686088562,0.9013693332672119,0.7598000168800354,1,-0.31919682025909424,0.9020319765312054,"Agustin Ramirez",26546,682663
"JJ Wetherholt","STL",1.728063941001892,-3.6152782440185547,5.343342304229736,10.06410026550293,1.0320491790771484,1.0854058265686035,1.1083999872207642,1,0.7019392848014832,0.8901508797271012,"JJ Wetherholt",34985,802139
"Brice Turang","MIL",2.1170554161071777,-2.9636504650115967,5.080705642700195,10.631300926208496,1.1093050241470337,0.9908719062805176,,0,1.2522841691970825,0.8842739496561083,"Brice Turang",22186,668930
"Gavin Sheets","SDP",1.1942839622497559,-2.318596124649048,3.5128800868988037,5.4210004806518555,0.6362282037734985,0.8996469974517822,1.0964399576187134,5,0.4549384117126465,0.8725644484453068,"Gavin Sheets",19901,657757
"Jose Fernandez","ARI",0.575840175151825,-2.2859678268432617,2.8618078231811523,1.0510002374649048,0.09517453610897064,0.9566722512245178,2.192499876022339,8,-0.267618328332901,0.8695383426479009,"Jose Fernandez",28020,699912
"Bobby Witt Jr.","KCR",1.0539132356643677,-4.256784439086914,5.310697555541992,6.267999649047852,0.6227597594261169,1.0739266872406006,,0,0.13141991198062897,0.8499443172409612,"Bobby Witt Jr.",25764,677951
"Troy Johnston","COL",1.2033637762069702,-2.559772253036499,3.7631359100341797,7.537899494171143,0.6935319900512695,0.9756790995597839,1.3876333236694336,6,0.38591858744621277,0.8474416195623367,"Troy Johnston",26143,687859
"Brooks Lee","MIN",0.8250638842582703,-2.7720460891723633,3.5971100330352783,6.865200519561768,0.6987006068229675,0.908629298210144,,0,0.0927928164601326,0.8152385290880635,"Brooks Lee",31595,686797
"Josh Jung","TEX",0.8314502835273743,-3.229910135269165,4.0613603591918945,3.693000555038452,0.37166160345077515,1.008947730064392,,0,0.01605256460607052,0.8080241033441218,"Josh Jung",26299,673962
