Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302281328412,0.3747158107134992,167.2945410107893,-1.1462612729519606,58.199937217629405,2.548029601573944,8.323801276359,"Alex Bregman",17678,608324
"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149256520241452,0.42969840943343995,160.62181817164873,1.4569926587864757,54.245399689454224,4.746981143951416,7.777137694596405,"Cody Bellinger",15998,641355
"Mike Trout","LAA",134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.4364301597909309,0.46111326646639816,176.56422379657047,2.5670828660950065,61.28100778622706,-4.265666961669922,7.6451525369234234,"Mike Trout",10155,545361
"Anthony Rendon","WSN",146,646,34,117,126,5,0.123839009,0.133126934,0.278899082,0.322580645,0.319266055,0.411764705,0.598165137,0.4126485417068565,0.414034230582019,154.77797651899814,-0.7970818420872092,45.89079956752023,3.1618316769599915,6.768283855099741,"Anthony Rendon",12861,543685
"Christian Yelich","MIL",130,580,44,100,97,30,0.137931034,0.203448275,0.341513293,0.354545454,0.329243353,0.429310344,0.670756646,0.44159413070966164,0.42604715764308915,174.11236108167284,7.153561812825501,63.86678188547876,-14.042938709259033,6.638455804174647,"Christian Yelich",11477,592885
"Marcus Semien","OAK",162,747,33,123,92,10,0.116465863,0.136546184,0.237442923,0.294455066,0.284627092,0.369477911,0.522070015,0.3725865506485805,0.36223894129685363,137.67703677456774,-0.07110996637493372,35.90061958801223,4.048375844955444,6.503845482052209,"Marcus Semien",12533,543760
"Rafael Devers","BOS",156,702,32,129,115,8,0.068376068,0.169515669,0.244204019,0.339357429,0.310664605,0.360912981,0.554868624,0.3769256896003866,0.36674453272964014,132.32607459015875,-1.715784940868616,27.2879589506093,13.878799438476562,6.464070432184387,"Rafael Devers",17350,646240
"Ketel Marte","ARI",144,628,32,97,92,10,0.084394904,0.136942675,0.263620387,0.342163355,0.328646748,0.388535031,0.592267135,0.40473624273610953,0.3750142578125,149.85578505795033,3.831041623838246,45.13967873434021,0.10410213470458984,6.3425022569274505,"Ketel Marte",13613,606466
"Nolan Arenado","COL",155,662,41,102,118,3,0.093655589,0.140483383,0.268707483,0.311688311,0.31462585,0.379154078,0.583333333,0.3915574364764716,0.3426342567174299,129.53253837633753,-1.0286291036754847,24.765711486494403,17.235968589782715,6.133073434611678,"Nolan Arenado",9777,571448
"George Springer","HOU",122,556,39,96,96,6,0.120503597,0.20323741,0.298538622,0.305135951,0.292275574,0.383093525,0.590814196,0.40047988784205807,0.40042492901837384,155.15424580794243,2.2399705853313208,41.43380203536115,1.2587306499481201,6.09946927848598,"George Springer",12856,543807
"Francisco Lindor","CLE",143,654,32,101,74,22,0.070336391,0.149847094,0.234113712,0.29113924,0.284280936,0.335375191,0.518394648,0.34933322362648034,0.3343592540758876,117.93282604692672,0.5210325494408607,15.510647011746752,23.235247135162354,6.0603468473082405,"Francisco Lindor",12916,596019
"Trevor Story","COL",145,656,35,111,85,23,0.088414634,0.265243902,0.260204081,0.361256544,0.294217687,0.362804878,0.554421768,0.380253602455302,0.3407383576604246,122.12659054944977,2.3543334752321243,21.5050047811606,19.711841583251953,6.038232118988119,"Trevor Story",12564,596115
"Xander Bogaerts","BOS",155,698,33,110,117,4,0.108882521,0.1747851,0.245928338,0.337634408,0.309446254,0.383954154,0.555374592,0.3895118071258753,0.35624101182569345,140.8384024759768,0.27058563102036715,36.70301623194178,-0.2030315399169922,5.996748051401189,"Xander Bogaerts",12161,593428
"J.T. Realmuto","PHI",145,593,25,92,83,9,0.069139966,0.207419898,0.217472119,0.309045226,0.275092936,0.327702702,0.492565055,0.33972870444847364,0.34107047905356197,107.35131428082538,5.336936667561531,11.0884925911534,30.832085609436035,5.911155975461036,"J.T. Realmuto",11739,592663
"Mookie Betts","BOS",150,706,29,135,80,16,0.137393767,0.14305949,0.229480737,0.308823529,0.29480737,0.390934844,0.524288107,0.3803322583436966,0.41102648191260743,134.63002813658872,3.2357177771627903,34.48366728600971,-0.2763400077819824,5.802165843455826,"Mookie Betts",13611,605141
"DJ LeMahieu","NYY",145,655,26,109,102,5,0.070229007,0.13740458,0.191029901,0.348979591,0.327242524,0.374617737,0.518272425,0.3747621643433877,0.37771100152158593,136.0254966079629,-1.3883027359843254,28.770580438554674,6.686987400054932,5.744471455052956,"DJ LeMahieu",9874,518934
"Yasmani Grandal","MIL",153,632,28,79,77,5,0.172468354,0.219936708,0.222222222,0.279202279,0.245614035,0.379746835,0.467836257,0.36083874768680996,0.36785000436674287,121.20375040254218,-2.943582559004426,14.736953372472211,24.14347755908966,5.736852602685272,"Yasmani Grandal",11368,518735
"Javier Báez","CHC",138,561,29,89,85,11,0.049910873,0.278074866,0.25047081,0.344827586,0.280602636,0.315508021,0.531073446,0.34710139335269996,0.33381918683891504,112.3413430171423,1.370531833730638,10.505161566411191,29.065531730651855,5.583651942849265,"Javier Baez",12979,595879
"Matt Chapman","OAK",156,670,36,102,91,1,0.108955223,0.219402985,0.25728988,0.270471464,0.24871355,0.341791044,0.50600343,0.3543069247879199,0.35868285854536713,125.31403693439424,-1.425759544596076,20.251291030185392,11.583129644393921,5.445247905026818,"Matt Chapman",16505,656305
"Juan Soto","WSN",150,659,34,110,110,12,0.163884673,0.20030349,0.265682657,0.311518324,0.282287822,0.40060698,0.547970479,0.39400750825681335,0.4086559033575859,142.56490607654976,0.3317511361092329,37.3403597530513,-2.492366313934326,5.428945939852833,"Juan Soto",20123,665742
"Josh Donaldson","ATL",155,659,37,96,94,4,0.151745068,0.235204855,0.262295082,0.292479108,0.258652094,0.37936267,0.520947176,0.37736235343520863,0.3846006582135298,131.01182498796396,-1.8296469878405333,25.133985714945254,7.613796710968018,5.224957195722005,"Josh Donaldson",5038,518626
"Yoán Moncada","CHW",132,559,25,83,79,10,0.07155635,0.275491949,0.232876712,0.405970149,0.315068493,0.367383512,0.547945205,0.3794245002724284,0.3575244525531391,139.26026618538273,-0.03412306774407625,28.01562897110621,4.942429542541504,5.164518733144089,"Yoan Moncada",17232,660162
"Ronald Acuña Jr.","ATL",156,715,41,127,101,37,0.106293706,0.262937062,0.238019169,0.336683417,0.279552715,0.365168539,0.517571884,0.36889346095465,0.3907994293256056,125.46324954488173,6.434731035493314,30.455423975073547,-1.7099213898181915,5.009938609350815,"Ronald Acuna Jr.",18401,660670
"Jose Altuve","HOU",124,548,31,89,74,6,0.074817518,0.149635036,0.252,0.302564102,0.298,0.352833638,0.55,0.3739447178526814,0.3428766366207238,137.20780068711292,-0.5119981430470943,25.54824943728047,5.842107057571411,4.973616055817556,"Jose Altuve",5417,514888
"Jeff McNeil","NYM",133,567,23,83,75,5,0.061728395,0.132275132,0.213725491,0.336561743,0.317647058,0.384479717,0.531372549,0.3844523276902933,0.35014790455359124,144.12829736283746,-2.755204489454627,30.25634377365641,0.9555647373199463,4.790394280569032,"Jeff McNeil",15362,643446
"Carlos Santana","CLE",158,686,34,110,93,4,0.157434402,0.157434402,0.233856893,0.29330254,0.280977312,0.396501457,0.514834205,0.3796459741514585,0.3671206660490988,138.43414991165827,1.034043270163238,34.73214012583274,-10.459161281585693,4.767019006640913,"Carlos Santana",2396,467793
"Pete Alonso","NYM",161,693,53,103,120,1,0.103896103,0.264069264,0.323283082,0.28021978,0.25963149,0.357864357,0.582914572,0.3841176861585314,0.38001025247434017,143.90904982962908,0.6052518161013722,40.752236975503386,-14.489941596984863,4.700505604430589,"Pete Alonso",19251,624413
"Nelson Cruz","MIN",120,521,41,81,108,0,0.107485604,0.251439539,0.328193832,0.350877192,0.310572687,0.392307692,0.638766519,0.4173317082459107,0.41596414524981656,164.02159808158166,-2.4371451875194907,40.194119123810154,-12.314814567565918,4.537763358117065,"Nelson Cruz",2434,443558
"Tim Anderson","CHW",123,518,18,81,56,17,0.028957528,0.21042471,0.172690763,0.399463806,0.335341365,0.357142857,0.508032128,0.3631293819677876,0.32110245163376266,128.23944187904743,2.05254880245775,20.74859823243958,6.828075051307678,4.497832559922255,"Tim Anderson",15172,641313
"Trea Turner","WSN",122,569,19,96,57,35,0.075571177,0.198594024,0.199616123,0.347826086,0.297504798,0.353251318,0.497120921,0.3557595131258485,0.3394907220092342,117.5059167201515,7.210647786036134,20.35268788745696,6.594912171363831,4.382415712587045,"Trea Turner",16252,607208
"Max Muncy","LAD",141,589,35,101,98,4,0.152801358,0.252971137,0.264887063,0.283387622,0.250513347,0.373514431,0.51540041,0.37249012686768357,0.3801953292794244,132.81927925195404,0.23054996225982904,25.734649670003336,0.5504512786865234,4.380109315618125,"Max Muncy",13301,571970
"Freddie Freeman","ATL",158,692,38,113,121,6,0.125722543,0.183526011,0.254606365,0.31797235,0.29480737,0.388728323,0.549413735,0.38708458808025076,0.39389797654524117,137.38155426805582,-0.27038032561540604,33.859055773767004,-10.914634585380554,4.375145958666138,"Freddie Freeman",5361,518692
"Kris Bryant","CHC",147,634,31,108,77,4,0.116719242,0.228706624,0.239410682,0.330623306,0.281767955,0.38170347,0.521178637,0.3794689480727318,0.35058815209298994,133.54763648284256,0.8068081270903349,28.868693731276686,-4.206689953804016,4.362053005687144,"Kris Bryant",15429,592178
"Eugenio Suárez","CIN",159,662,49,87,103,3,0.105740181,0.285498489,0.300869566,0.311953352,0.271304347,0.358006042,0.572173913,0.3807144797319337,0.3552397727966309,130.48772739733005,-4.001039728522301,22.62758305647622,0.8799483776092529,4.336778618723273,"Eugenio Suarez",12552,553993
"Austin Meadows","TBR",138,591,33,83,89,12,0.091370558,0.221658206,0.267924529,0.330601092,0.290566037,0.363790186,0.558490566,0.3796176519149389,0.3748438908503606,143.8846563117791,-1.5707371719181538,31.5777842098365,-9.127325505018234,4.2563330151416405,"Austin Meadows",15672,640457
"Ozzie Albies","ATL",160,702,24,102,86,15,0.076923076,0.159544159,0.2046875,0.324803149,0.2953125,0.351851851,0.5,0.3537985326229841,0.34588923831637813,115.5734854643437,5.696011295542121,20.12010707515299,0.8312705755233765,4.212586470340953,"Ozzie Albies",16556,645277
"Aaron Judge","NYY",102,447,27,75,55,3,0.143176733,0.315436241,0.267195767,0.360189573,0.272486772,0.381165919,0.539682539,0.38221578711298254,0.4018107280472285,141.06658102684742,-0.5341472786385566,22.92758362520702,3.6500158309936523,4.151421304741395,"Aaron Judge",15640,592450
"Michael Conforto","NYM",151,648,33,90,92,7,0.129629629,0.229938271,0.236794171,0.29032258,0.256830601,0.36265432,0.493624772,0.3582764546941636,0.3702906722542625,126.97861616887052,1.411630786024034,24.47699617232702,-2.5291848182678223,4.141858086190856,"Michael Conforto",16376,624424
"Roberto Pérez","CLE",119,449,24,46,63,0,0.100222717,0.282850779,0.213367609,0.285123966,0.23907455,0.321266968,0.452442159,0.3255884586548319,0.32157992441719824,101.87360646622356,-2.379674439318478,-1.3044758242245509,26.638867378234863,4.037695938792854,"Roberto Perez",2900,547379
"Yuli Gurriel","HOU",144,612,31,85,104,5,0.060457516,0.10620915,0.242907801,0.289029535,0.29787234,0.343137254,0.540780141,0.36429392705198194,0.3221782384006622,130.6807127676951,-0.9977362090721726,23.000584104855726,-3.868422746658325,4.0077926529377805,"Yuli Gurriel",19198,493329
"Michael Brantley","HOU",148,637,22,88,90,3,0.080062794,0.103610675,0.191304348,0.3197556,0.311304347,0.372056514,0.502608695,0.36682630356177925,0.35798977804106924,132.39342672718925,0.10783683694899082,26.480883500687757,-8.44584995508194,3.9890386721715174,"Michael Brantley",4106,488726
"J.D. Martinez","BOS",146,657,36,98,105,2,0.109589041,0.210045662,0.252173913,0.342364532,0.304347826,0.382621951,0.556521739,0.3861450111663323,0.3996105843653251,138.5613483268925,-1.2062623845413327,31.17408914318193,-14.141627430915833,3.9619071874446,"J.D. Martinez",6184,502110
"Mark Canha","OAK",126,497,26,80,58,3,0.134808853,0.21529175,0.243902439,0.308243727,0.273170731,0.396378269,0.51707317,0.38558593332286806,0.3611098808970878,146.46886693288832,-0.2867626929655671,29.230932956915776,-6.736282110214233,3.9304688666790444,"Mark Canha",11445,592192
"Mitch Garver","MIN",93,359,31,70,67,0,0.114206128,0.242339832,0.356913183,0.276923076,0.273311897,0.364902506,0.63022508,0.40444257598069383,0.38201164734396764,155.30433322345436,-1.3158184560015798,24.059855639056362,3.4039118885993958,3.9284101881648623,"Mitch Garver",15161,641598
"Justin Turner","LAD",135,549,27,80,67,2,0.092896174,0.160291438,0.219206681,0.303523035,0.290187891,0.371584699,0.509394572,0.3698478160548384,0.377227951808529,131.08811299582322,-3.4451525881886482,19.072979888364912,3.532484769821167,3.8986332821635195,"Justin Turner",5235,457759
"Ramón Laureano","OAK",123,481,24,79,67,13,0.056133056,0.255717255,0.232718894,0.342372881,0.288018433,0.339583333,0.520737327,0.35623578789333504,0.34593448475894767,126.61857863813246,3.951740888878703,20.315908407731563,2.0902762413024902,3.865679505691287,"Ramon Laureano",17128,657656
"Max Kepler","MIN",134,596,36,98,90,1,0.10067114,0.166107382,0.267175573,0.244274809,0.251908396,0.335570469,0.519083969,0.3550047258402677,0.343499029004896,121.8681930068228,-0.8639550022780895,15.794055699709038,2.44869065284729,3.865208946322634,"Max Kepler",12144,596146
"Carlos Correa","HOU",75,321,21,42,59,1,0.109034267,0.233644859,0.289285714,0.303191489,0.278571428,0.358255451,0.567857142,0.38040165366413436,0.39456216780865777,141.57479906079405,-0.07431305479258299,16.982550289819454,10.945196628570557,3.8400079631929636,"Carlos Correa",14162,621043
"Bryce Harper","PHI",157,682,35,98,114,15,0.14516129,0.260997067,0.249563699,0.313186813,0.260034904,0.372434017,0.509598603,0.36547490532458626,0.38680096902232475,124.21948662588713,-1.5220152335241437,20.270882030127567,-2.6700057983398438,3.825119205061365,"Bryce Harper",11579,547180
"Matt Olson","OAK",127,547,36,73,91,0,0.093235831,0.252285191,0.277432712,0.3,0.267080745,0.351005484,0.544513457,0.3680070460946472,0.3871624905286311,134.57979537039904,-2.57898520398885,21.596417885177342,-2.162282943725586,3.8088230039974045,"Matt Olson",14344,621566
"Yordan Alvarez","HOU",87,369,27,58,78,0,0.140921409,0.254742547,0.341853035,0.365979381,0.313099041,0.411924119,0.654952076,0.43207024335861205,0.4094036102294922,176.51964809676525,-0.9707300821319222,35.11731104268167,-9.508236289024353,3.7833910997381572,"Yordan Alvarez",19556,670541
"Bryan Reynolds","PIT",134,546,16,83,68,3,0.084249084,0.221611721,0.189409368,0.386554621,0.313645621,0.377289377,0.503054989,0.3710365610899943,0.36126791387518914,130.01199526304546,-0.8045315099880099,20.81534333304231,-0.17963099479675293,3.698009599344628,"Bryan Reynolds",19326,668804
"Starling Marte","PIT",132,586,23,97,82,25,0.042662116,0.160409556,0.207792208,0.319248826,0.294990723,0.342465753,0.502782931,0.3527712786177215,0.36120465775610694,118.04510608370288,3.7199631733819842,17.671521501728595,1.453742504119873,3.675384455583102,"Starling Marte",9241,516782
"Anthony Rizzo","CHC",146,613,27,89,94,5,0.115823817,0.140293637,0.2265625,0.305970149,0.29296875,0.404567699,0.51953125,0.3897227875521926,0.3861920691483858,140.26565800261633,-6.5491689052432775,26.016570149863334,-8.358701944351196,3.6166144890763725,"Anthony Rizzo",3473,519203
"Victor Robles","WSN",155,617,17,86,65,28,0.056726094,0.226904376,0.164835165,0.30964467,0.254578754,0.325695581,0.419413919,0.31671895704379205,0.2936785363203642,91.92766416133715,4.155228762887418,-2.416052397931451,19.89894962310791,3.6120280821640356,"Victor Robles",18363,645302
"Tommy Edman","STL",92,349,11,59,36,15,0.045845272,0.1747851,0.196319019,0.346456692,0.303680981,0.3495702,0.5,0.3566056881046568,0.32973132639013253,123.68685451513603,6.121983370743692,17.02881184167144,8.61482149362564,3.573317304727115,"Tommy Edman",19470,669242
"Corey Seager","LAD",134,541,19,82,87,1,0.081330868,0.181146025,0.210633946,0.303191489,0.27198364,0.334565619,0.482617586,0.3403257728730879,0.3276367474319343,111.74611707322666,2.9782890398055315,11.362404564136733,8.067858457565308,3.565416873789207,"Corey Seager",13624,608369
